n,repeat,elapsed,rank,T_over_rank,T_over_nk,T_over_nk2
1100,0,0.036000013351,60,6.000002225240e-04,5.454547477491e-07,9.090912462485e-09
1100,1,0.028000116348,51,5.490218891817e-04,4.991108083470e-07,9.786486438176e-09
1100,2,0.023999929428,41,5.853641323927e-04,5.321492112661e-07,1.297924905527e-08
1100,3,0.011000156403,14,7.857254573277e-04,7.142958702979e-07,5.102113359271e-08
1200,0,0.012000083923,16,7.500052452087e-04,6.250043710073e-07,3.906277318796e-08
1200,1,0.069000005722,88,7.840909741142e-04,6.534091450951e-07,7.425103921536e-09
1200,2,0.009999990463,2,4.999995231628e-03,4.166662693024e-06,2.083331346512e-06
1200,3,0.187000036240,155,1.206451846707e-03,1.005376538923e-06,6.486300251114e-09
1300,0,0.034000158310,44,7.727308706804e-04,5.944083620618e-07,1.350928095595e-08
1300,1,0.140000104904,127,1.102363030742e-03,8.479715621089e-07,6.676941433928e-09
1300,2,0.016000032425,9,1.777781380547e-03,1.367524138883e-06,1.519471265425e-07
1300,3,0.020999908447,27,7.777743869358e-04,5.982879899506e-07,2.215881444261e-08
1400,0,0.014999866486,13,1.153835883507e-03,8.241684882195e-07,6.339757601689e-08
1400,1,0.148000001907,124,1.193548402479e-03,8.525345731990e-07,6.875278816121e-09
1400,2,0.022000074387,22,1.000003381209e-03,7.142881294350e-07,3.246764224704e-08
1400,3,0.035000085831,42,8.333353769212e-04,5.952395549437e-07,1.417237035580e-08
1500,0,0.592000007629,252,2.349206379482e-03,1.566137586321e-06,6.214831691751e-09
1500,1,0.194000005722,136,1.426470630309e-03,9.509804202061e-07,6.992503089751e-09
1500,2,0.033999919891,37,9.189167538205e-04,6.126111692136e-07,1.655705862740e-08
1500,3,0.016999959946,8,2.124994993210e-03,1.416663328807e-06,1.770829161008e-07
1600,0,0.024000167847,15,1.600011189779e-03,1.000006993612e-06,6.666713290744e-08
1600,1,0.032999992371,28,1.178571156093e-03,7.366069725582e-07,2.630739187708e-08
1600,2,0.326000213623,173,1.884394298399e-03,1.177746436499e-06,6.807782869939e-09
1600,3,0.206000089645,133,1.548872854477e-03,9.680455340479e-07,7.278537849984e-09
1700,0,0.023999929428,7,3.428561346872e-03,2.016800792277e-06,2.881143988968e-07
1700,1,0.487999916077,212,2.301886396588e-03,1.354050821522e-06,6.387032176992e-09
1700,2,0.033999919891,30,1.133330663045e-03,6.666650959090e-07,2.222216986363e-08
1700,3,0.048000097275,39,1.230771724994e-03,7.239833676437e-07,1.856367609343e-08
1800,0,0.057999849319,48,1.208330194155e-03,6.712945523085e-07,1.398530317309e-08
1800,1,0.026000022888,4,6.500005722046e-03,3.611114290025e-06,9.027785725064e-07
1800,2,0.023000001907,2,1.150000095367e-02,6.388889418708e-06,3.194444709354e-06
1800,3,0.026999950409,5,5.399990081787e-03,2.999994489882e-06,5.999988979763e-07
