rank,frobenius_norm
1,8.731175e+01
2,7.706279e+01
3,6.993990e+01
4,6.570320e+01
5,6.142874e+01
6,5.802567e+01
7,5.467726e+01
8,5.243697e+01
9,5.022585e+01
10,4.815490e+01
11,4.618672e+01
12,4.424876e+01
13,4.250727e+01
14,4.100826e+01
15,3.979537e+01
16,3.872384e+01
17,3.774248e+01
18,3.677061e+01
19,3.590021e+01
20,3.503382e+01
21,3.422467e+01
22,3.343700e+01
23,3.268802e+01
24,3.196361e+01
25,3.123885e+01
26,3.052348e+01
27,2.981539e+01
28,2.914025e+01
29,2.854231e+01
30,2.798938e+01
31,2.745291e+01
32,2.694565e+01
33,2.645612e+01
34,2.599054e+01
35,2.554533e+01
36,2.511262e+01
37,2.469111e+01
38,2.427398e+01
39,2.385374e+01
40,2.348427e+01
41,2.312205e+01
42,2.275570e+01
43,2.240559e+01
44,2.207495e+01
45,2.174810e+01
46,2.142679e+01
47,2.110201e+01
48,2.080183e+01
49,2.051652e+01
50,2.022991e+01
51,1.994318e+01
52,1.966332e+01
53,1.938750e+01
54,1.913202e+01
55,1.887621e+01
56,1.863499e+01
57,1.841327e+01
58,1.819289e+01
59,1.797731e+01
60,1.776136e+01
61,1.754907e+01
62,1.733576e+01
63,1.712759e+01
64,1.692427e+01
65,1.672361e+01
66,1.653512e+01
67,1.634707e+01
68,1.617052e+01
69,1.599423e+01
70,1.582114e+01
71,1.564985e+01
72,1.548009e+01
73,1.531133e+01
74,1.515076e+01
75,1.499018e+01
76,1.482852e+01
77,1.467135e+01
78,1.451978e+01
79,1.436918e+01
80,1.422150e+01
81,1.407821e+01
82,1.393591e+01
83,1.379794e+01
84,1.366187e+01
85,1.352728e+01
86,1.339194e+01
87,1.326133e+01
88,1.313179e+01
89,1.300334e+01
90,1.288041e+01
91,1.275860e+01
92,1.263823e+01
93,1.252021e+01
94,1.240284e+01
95,1.229149e+01
96,1.218063e+01
97,1.207152e+01
98,1.196199e+01
99,1.185507e+01
100,1.174756e+01
101,1.164245e+01
102,1.154002e+01
103,1.143675e+01
104,1.133530e+01
105,1.123612e+01
106,1.113819e+01
107,1.104232e+01
108,1.094822e+01
109,1.085566e+01
110,1.076236e+01
111,1.066992e+01
112,1.057878e+01
113,1.048920e+01
114,1.039960e+01
115,1.031285e+01
116,1.022750e+01
117,1.014344e+01
118,1.006015e+01
119,9.977539e+00
120,9.894695e+00
121,9.813321e+00
122,9.733099e+00
123,9.653400e+00
124,9.574602e+00
125,9.495341e+00
126,9.419378e+00
127,9.344447e+00
128,9.269889e+00
129,9.196573e+00
130,9.123803e+00
131,9.052535e+00
132,8.981792e+00
133,8.912221e+00
134,8.843545e+00
135,8.775977e+00
136,8.708967e+00
137,8.642700e+00
138,8.577055e+00
139,8.513154e+00
140,8.449079e+00
141,8.386718e+00
142,8.324929e+00
143,8.263853e+00
144,8.202971e+00
145,8.143233e+00
146,8.084281e+00
147,8.025793e+00
148,7.968103e+00
149,7.911267e+00
150,7.854996e+00
151,7.798753e+00
152,7.743526e+00
153,7.688553e+00
